0,8,9,2,71,19,10,13,125,148,3,12,33,11,25,2516,9,34,22,7,2,23,8,18,184,98,17,13,97,14,241,56,61,25,56,26,13,8,33,8,85,78,8,11,26,18,20
5,21,5,2,81,20,11,26,109,138,6,9,32,14,38,2902,7,35,34,16,3,34,12,35,157,117,15,16,130,13,133,62,74,27,65,30,20,10,55,9,57,96,12,13,34,18,28
10,33,35,2,111,28,19,21,117,185,6,8,45,18,41,2481,16,52,39,16,4,41,22,41,280,145,20,23,122,17,206,72,116,34,75,31,29,8,64,16,75,134,11,10,67,25,30
15,33,13,3,118,44,15,21,114,237,3,10,50,23,58,2125,18,81,46,15,8,53,24,57,263,175,17,32,168,21,226,86,118,27,110,34,38,11,77,23,76,142,11,23,45,29,51
20,47,12,1,67,39,21,21,114,304,5,11,60,14,72,2149,28,72,53,10,5,66,34,77,316,213,27,35,208,23,259,142,148,39,122,48,40,14,107,20,102,196,12,23,64,38,61
25,58,8,1,63,43,24,25,169,302,4,19,85,23,66,2083,35,88,62,19,11,91,47,105,425,294,34,54,290,34,326,133,178,48,147,66,69,26,127,35,144,255,22,36,104,47,68
30,62,14,1,89,52,30,36,104,474,10,16,100,21,101,3536,42,113,85,16,17,133,61,143,504,350,36,70,286,51,401,155,236,53,184,87,91,34,159,48,193,306,29,55,108,87,146
35,99,22,3,162,81,46,57,225,504,18,40,113,46,116,4022,64,155,131,26,20,179,71,170,501,452,50,98,394,72,488,198,290,63,261,110,149,44,194,71,289,418,51,60,184,116,150
40,109,31,6,178,113,74,91,182,533,27,68,161,74,151,2157,83,208,101,32,48,259,93,208,646,601,71,125,508,89,635,264,320,82,297,131,160,65,235,91,301,531,64,64,177,144,210
45,164,40,8,134,150,80,100,290,684,25,97,200,99,193,4204,111,309,146,19,56,333,97,275,846,628,92,176,611,120,780,324,506,120,357,171,230,95,304,99,418,674,88,109,247,188,335
50,192,66,21,222,188,100,101,414,1088,31,109,244,100,244,2737,127,371,161,32,58,441,119,336,1214,808,120,212,784,150,709,416,658,145,426,234,262,126,380,186,575,656,116,145,384,241,371
55,233,123,25,229,265,127,153,408,904,53,140,297,137,317,4611,211,432,194,31,95,585,145,466,1513,1048,229,349,963,198,1145,486,710,182,510,315,409,158,446,238,507,1070,153,169,482,352,624
60,259,134,30,294,357,166,137,550,1296,87,182,273,236,290,4025,189,471,302,32,126,714,175,560,2105,1317,323,391,1134,315,1164,619,681,217,599,362,457,184,445,359,612,1037,171,181,499,404,749
65,336,169,48,452,448,188,218,596,1255,83,238,359,230,363,4187,296,703,407,41,171,934,160,586,2664,1745,389,397,1207,382,1248,608,,,,,,,,,,,,,,,
70,408,277,90,293,524,285,232,659,2371,144,307,300,375,442,5272,431,891,419,71,227,,,,2504,2342,169,397,1057,412,1305,735,,,,,,,,,,,,,,,
