0,52,61,48,24,40,22,20,192,32,44,56,44,29,38,272,15,33,38,28,17,23,130,17,311,223,141,56,50,74,167,74,132,14,37,15,43,31,79,105,94,85,36,70,27,60,90
5,55,95,61,30,50,24,34,215,31,48,61,37,29,31,341,13,35,50,27,19,24,182,25,337,264,179,63,53,64,195,87,140,18,52,16,46,33,108,117,90,98,40,144,36,74,115
10,60,111,70,33,49,36,26,248,42,56,67,47,42,45,426,15,43,42,41,22,37,196,27,465,287,190,76,58,91,232,84,160,17,51,15,57,45,99,133,115,141,44,109,44,55,151
15,85,117,71,45,68,32,30,270,50,42,68,59,34,57,284,21,43,53,38,31,58,208,19,454,327,197,91,69,122,250,104,140,17,61,11,65,39,102,148,126,143,48,127,40,56,164
20,73,132,84,39,55,37,28,273,59,49,77,59,36,67,200,22,48,56,36,40,62,266,18,481,377,265,96,98,127,271,124,158,19,67,15,71,52,111,184,136,143,48,145,43,65,165
25,87,141,89,43,53,29,35,293,63,54,66,69,57,70,230,33,49,54,44,43,61,296,24,514,459,283,122,117,155,297,117,163,17,84,18,69,60,133,237,163,171,51,172,51,82,176
30,106,164,108,49,66,25,42,274,92,63,76,67,55,84,286,45,49,59,53,46,88,372,25,516,512,303,129,130,173,297,129,193,24,73,23,94,60,121,207,176,203,53,204,56,79,241
35,114,191,127,61,83,40,42,408,80,81,120,86,88,82,317,28,59,83,63,58,89,409,33,481,507,285,150,112,212,282,151,209,36,91,24,99,78,141,254,229,225,66,223,60,77,217
40,123,203,125,60,84,52,67,378,89,73,120,84,68,77,362,29,66,73,71,65,119,476,36,551,551,377,164,148,224,327,169,197,49,95,22,112,84,137,250,238,261,78,230,53,89,251
45,129,270,158,65,101,47,58,444,100,101,140,103,89,98,396,38,63,92,77,84,143,511,34,562,503,415,171,142,221,325,189,302,77,98,14,128,93,176,246,255,275,83,294,69,71,307
50,152,318,228,80,101,51,59,476,132,89,149,102,79,102,360,27,75,94,106,78,165,555,47,624,442,450,186,150,274,298,199,297,85,122,23,113,105,171,317,288,257,94,351,75,72,285
55,132,374,185,84,116,51,59,404,113,131,163,91,96,105,578,61,79,106,116,73,192,608,59,660,386,519,199,136,308,384,206,304,93,115,25,140,101,192,300,268,344,99,373,80,91,326
60,125,400,220,93,142,68,55,456,130,145,177,97,116,103,420,40,83,96,122,75,220,625,72,766,354,571,184,127,349,371,216,275,44,143,25,145,102,170,354,294,338,95,369,79,90,335
65,138,431,298,120,184,66,74,441,113,135,166,106,109,108,406,38,82,105,154,75,247,549,73,835,334,609,181,107,331,290,234,,,,,,,,,,,,,,,
70,176,507,327,108,207,88,59,317,139,149,174,103,136,124,768,64,94,117,176,101,,,,838,304,622,194,59,311,271,228,,,,,,,,,,,,,,,
