0,14,52,9,9,8,16,13,25,61,18,54,25,22,19,21,38,10,8,14,21,9,21,41,29,27,13,15,57,11,19,97,129,97,169,141,57,204,30,186,45,14,21,53,18,33,82,55,127,77,136,14,30,37,41,52,39,32,91,47,22,123,24,90,35,74,44
5,16,53,12,12,11,20,13,24,66,21,71,26,34,18,18,32,7,10,15,19,7,16,41,41,25,16,11,84,9,24,111,165,107,211,173,70,239,37,190,59,23,22,63,26,38,84,63,131,91,170,16,43,50,45,49,45,33,114,52,18,153,22,84,43,79,48
10,17,63,15,15,12,29,12,26,78,31,76,24,30,23,28,38,9,12,16,20,9,24,53,43,32,16,15,72,13,27,142,177,152,250,226,79,251,38,258,80,26,28,69,25,50,103,72,158,111,201,21,41,48,63,53,65,34,124,71,22,184,28,93,55,90,54
15,15,71,14,14,17,29,15,35,99,27,83,30,32,20,27,51,8,11,22,24,9,23,56,41,40,26,16,83,18,39,146,234,160,301,256,94,313,43,239,94,33,32,78,28,69,127,94,178,132,256,27,45,56,66,65,61,42,145,80,30,193,33,102,55,105,60
20,19,80,11,11,15,35,14,35,94,38,95,34,40,18,32,47,14,15,15,35,10,31,53,38,28,28,22,100,15,47,176,245,186,321,337,93,347,58,259,119,41,40,103,27,75,132,122,202,154,312,29,46,65,81,61,77,47,177,88,29,198,33,120,63,106,88
25,20,77,16,16,19,46,15,37,102,43,93,36,56,20,29,52,14,19,11,36,11,27,61,40,33,32,23,127,16,54,223,284,242,346,330,127,414,63,284,134,53,48,123,34,98,150,142,267,171,340,36,65,72,90,82,94,60,225,123,45,236,45,131,75,123,93
30,30,88,17,17,21,52,20,43,107,52,102,45,58,23,24,63,16,18,21,36,11,34,74,47,34,37,29,122,17,60,262,329,288,455,439,135,482,74,318,157,67,56,126,53,127,186,170,257,204,387,41,68,81,94,93,118,78,278,137,51,260,41,157,81,168,117
35,32,115,14,14,26,72,20,46,135,43,137,50,61,30,30,78,15,21,26,45,13,38,79,60,35,45,37,102,32,69,310,387,320,475,536,186,550,93,380,174,87,68,159,52,160,204,192,304,233,372,47,74,92,122,108,134,80,311,138,65,286,55,175,97,163,146
40,36,126,22,22,34,89,24,55,164,71,124,53,98,40,37,87,20,20,26,49,18,55,83,64,42,61,43,166,29,94,337,508,338,508,571,219,670,99,441,218,103,73,178,71,198,223,261,345,246,460,49,98,110,127,132,156,95,360,199,66,347,59,216,109,192,162
45,44,121,15,15,45,105,21,66,173,68,151,64,96,37,36,104,25,32,25,60,21,61,98,80,45,74,49,140,39,107,377,532,404,610,649,268,709,110,503,240,134,86,210,89,255,266,279,413,311,598,70,101,99,165,151,206,117,519,225,86,407,73,234,120,207,187
50,49,145,22,22,54,113,27,67,186,97,171,80,126,41,40,104,30,28,29,67,25,55,94,81,58,82,55,172,42,136,478,561,457,724,792,312,819,127,537,284,167,100,238,102,298,341,369,495,335,581,82,116,127,189,210,270,150,513,275,109,474,86,241,127,236,231
55,47,159,24,24,46,133,33,80,228,96,185,84,131,62,54,122,44,32,56,103,36,86,126,106,52,109,72,188,51,138,537,652,539,769,880,361,924,146,608,302,197,119,237,128,338,355,399,645,396,652,80,135,139,228,197,283,160,610,344,141,476,92,252,151,252,259
60,80,171,26,26,50,177,33,86,243,115,201,92,151,59,54,132,45,39,36,103,43,92,141,115,68,104,109,230,62,171,613,705,576,801,969,396,974,175,625,335,219,140,324,137,398,421,466,740,476,698,104,142,165,259,250,359,199,530,386,164,552,106,293,164,265,323
65,70,192,30,30,64,190,39,102,240,117,224,113,192,80,61,164,57,45,55,129,44,111,148,115,68,121,104,210,63,181,658,797,649,858,978,452,1109,187,742,340,252,155,338,155,474,428,530,825,585,738,99,165,175,259,,,,,,,,,,,,
70,100,239,43,43,82,247,46,133,309,168,261,148,270,94,70,199,70,52,40,128,55,121,163,128,88,132,116,240,78,191,,,,,,,,,,,261,182,346,203,546,547,567,869,596,795,145,208,225,299,,,,,,,,,,,,
