0,60,146,15,112,36,48,42,100,27,144,21,34,72,25,85,42,28,77,31,22,116,10,39,73,86,93,13,62,65,56,33,21,46,49,71,20,115,18,20,88,66,22,56,26,54
5,59,105,21,172,45,102,40,155,26,128,24,45,74,36,125,43,30,99,41,22,151,13,56,74,109,121,17,62,88,65,51,22,49,61,98,23,139,20,33,103,79,22,66,37,57
10,59,163,40,203,52,168,49,139,36,209,41,48,85,34,153,53,40,143,47,35,173,13,65,70,112,153,26,68,108,71,52,30,57,82,102,34,181,19,30,129,104,35,89,30,71
15,97,110,31,269,59,179,60,215,41,341,53,64,89,59,221,60,45,169,60,38,209,18,84,84,167,209,26,86,123,84,66,36,68,106,132,33,221,16,31,145,102,39,95,34,79
20,96,189,34,271,70,139,90,215,56,342,34,70,84,53,279,82,73,222,90,53,284,19,99,120,207,242,31,97,144,105,105,39,95,133,143,38,294,23,46,186,125,45,114,37,89
25,137,103,48,301,88,146,109,248,50,443,50,91,123,74,342,94,103,265,104,69,317,31,124,136,253,302,41,118,193,113,131,55,128,176,203,47,343,21,54,229,164,61,136,49,107
30,191,136,48,397,93,429,106,295,81,474,61,67,97,80,475,119,114,319,135,92,303,29,176,177,285,331,44,149,253,133,164,65,145,210,247,54,349,35,51,279,217,71,184,67,148
35,179,181,53,570,104,195,90,387,62,691,96,113,136,90,587,165,173,340,163,128,433,52,181,235,296,437,56,182,295,174,201,77,190,284,325,72,419,38,70,338,258,95,251,75,187
40,226,203,61,653,117,427,92,450,79,757,87,157,175,146,716,238,214,421,202,166,475,62,271,292,436,510,100,236,330,254,261,102,248,294,370,103,596,40,79,519,341,112,322,94,298
45,303,314,61,686,156,363,115,655,112,780,132,157,134,139,835,290,242,466,222,224,612,80,300,278,522,635,127,277,466,288,346,115,283,449,572,147,692,47,101,468,350,111,407,134,327
50,408,333,61,1023,187,548,124,726,158,1165,162,260,256,178,872,417,298,515,273,294,636,96,411,393,547,726,146,376,550,373,481,157,353,519,644,181,854,56,129,802,525,156,485,161,411
55,483,436,82,1251,229,238,172,930,200,1566,193,280,254,238,875,479,357,523,341,357,728,123,476,437,679,862,172,469,611,517,448,199,442,685,788,225,1328,58,192,869,588,179,556,193,523
60,580,814,132,1642,333,645,207,948,223,1537,236,268,232,322,894,564,414,536,384,478,850,162,562,482,708,1022,211,549,721,483,540,297,547,781,844,269,1484,83,179,954,682,216,632,249,628
65,814,930,134,1531,443,333,324,1145,240,2174,286,336,328,370,888,595,456,577,390,616,1013,183,635,606,844,1055,277,630,926,742,643,295,678,,,,,,,,,,,,
70,1176,1112,173,2166,466,721,567,1493,326,4541,415,575,480,555,,,,,,,895,258,607,632,687,1086,245,627,745,500,633,271,754,,,,,,,,,,,,
